Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Total Sales,Average Profit,Total Orders,Total Quantity
B-26776,9726.00,1275.00,5,Electronics,Electronic Games,UPI,27-06-2023,David Padilla,Florida,Miami,2023-06,"? 61,82,639.00",1348.992462,1194,12745
B-26776,9726.00,1275.00,5,Electronics,Electronic Games,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,2024-12,,,,
B-26776,9726.00,1275.00,5,Electronics,Electronic Games,UPI,25-07-2021,Robert Stone,New York,Buffalo,2021-07,,,,
B-26776,4975.00,1330.00,14,Electronics,Printers,UPI,27-06-2023,David Padilla,Florida,Miami,2023-06,,,,
B-26776,4975.00,1330.00,14,Electronics,Printers,UPI,27-12-2024,Connor Morgan,Illinois,Chicago,2024-12,,,,
B-26776,4975.00,1330.00,14,Electronics,Printers,UPI,25-07-2021,Robert Stone,New York,Buffalo,2021-07,,,,
B-26942,1525.00,185.00,12,Office Supplies,Pens,Debit Card,11-05-2024,John Fields,Florida,Orlando,2024-05,,,,
B-26942,1525.00,185.00,12,Office Supplies,Pens,Debit Card,09-10-2021,Clayton Smith,Florida,Miami,2021-10,,,,
B-26640,883.00,117.00,10,Electronics,Laptops,EMI,18-11-2022,Richard Kelley,California,Los Angeles,2022-11,,,,
B-26640,8127.00,3551.00,16,Furniture,Tables,Credit Card,18-11-2022,Richard Kelley,California,Los Angeles,2022-11,,,,
B-25890,2516.00,734.00,19,Furniture,Chairs,UPI,12-11-2023,Jacqueline Hubbard,New York,New York City,2023-11,,,,
B-25102,2975.00,462.00,14,Office Supplies,Pens,Credit Card,23-03-2020,Jessica Anderson,New York,New York City,2020-03,,,,
B-25426,6851.00,2812.00,1,Office Supplies,Markers,Debit Card,04-05-2020,Mary Taylor,Florida,Orlando,2020-05,,,,
B-25426,7626.00,1046.00,15,Furniture,Sofas,Credit Card,04-05-2020,Mary Taylor,Florida,Orlando,2020-05,,,,
B-25426,1023.00,78.00,9,Furniture,Tables,UPI,04-05-2020,Mary Taylor,Florida,Orlando,2020-05,,,,
B-25238,7600.00,1098.00,10,Office Supplies,Pens,UPI,09-11-2023,Walter Crawford,Illinois,Springfield,2023-11,,,,
B-25238,7501.00,262.00,18,Office Supplies,Paper,COD,09-11-2023,Walter Crawford,Illinois,Springfield,2023-11,,,,
B-25051,725.00,133.00,6,Office Supplies,Paper,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,2024-12,,,,
B-25051,7201.00,2685.00,2,Furniture,Tables,Credit Card,30-12-2024,Lawrence Robinson,New York,Rochester,2024-12,,,,
B-26510,1629.00,265.00,1,Office Supplies,Paper,UPI,11-02-2025,Douglas Pennington,Texas,Dallas,2025-02,,,,
B-26510,1629.00,265.00,1,Office Supplies,Paper,UPI,23-01-2024,Ricardo Andrews,California,San Diego,2024-01,,,,
B-25104,8971.00,2971.00,19,Office Supplies,Binders,Debit Card,28-11-2020,Paul Raymond,California,San Diego,2020-11,,,,
B-25104,2939.00,894.00,20,Office Supplies,Binders,COD,28-11-2020,Paul Raymond,California,San Diego,2020-11,,,,
B-25553,9380.00,414.00,11,Electronics,Phones,UPI,30-05-2024,Karen Johnson,New York,Rochester,2024-05,,,,
B-25553,8558.00,1644.00,18,Office Supplies,Binders,Credit Card,30-05-2024,Karen Johnson,New York,Rochester,2024-05,,,,
B-25553,4080.00,72.00,17,Office Supplies,Paper,COD,30-05-2024,Karen Johnson,New York,Rochester,2024-05,,,,
B-26703,4206.00,1821.00,17,Electronics,Electronic Games,EMI,23-01-2022,Juan Erickson,Texas,Austin,2022-01,,,,
B-26232,5219.00,1180.00,20,Office Supplies,Binders,COD,17-12-2021,Alexander Reed,New York,New York City,2021-12,,,,
B-26232,5219.00,1180.00,20,Office Supplies,Binders,COD,03-02-2023,Jacqueline Harris,California,San Francisco,2023-02,,,,
B-25394,3686.00,760.00,20,Office Supplies,Pens,Debit Card,30-10-2022,Tyler Park,California,San Francisco,2022-10,,,,
B-25394,3686.00,760.00,20,Office Supplies,Pens,Debit Card,15-01-2022,Richard Wolfe,Ohio,Columbus,2022-01,,,,
